2018-10-11 00:25:25,996 | INFO | DefaultCamelContext.java 3146 | Apache Camel 2.20.1 (CamelContext: camel-1) is starting
2018-10-11 00:25:25,996 | INFO | ManagedManagementStrategy.java 205 | JMX is enabled
2018-10-11 00:25:26,250 | INFO | DefaultTypeConverter.java 66 | Type converters loaded (core: 192, classpath: 0)
2018-10-11 00:25:26,416 | INFO | DefaultCamelContext.java 3466 | StreamCaching is not in use. If using streams then its recommended to enable stream caching. See more details at http://camel.apache.org/stream-caching.html
2018-10-11 00:25:26,421 | INFO | FileEndpoint.java 104 | Endpoint is configured with noop=true so forcing endpoint to be idempotent as well
2018-10-11 00:25:26,422 | INFO | FileEndpoint.java 110 | Using default memory based idempotent repository with cache max size: 1000
2018-10-11 00:25:26,478 | INFO | DefaultCamelContext.java 4026 | Route: route1 started and consuming from: file://data/input?noop=true
2018-10-11 00:25:26,479 | INFO | DefaultCamelContext.java 3195 | Total 1 routes, of which 1 are started
2018-10-11 00:25:26,481 | INFO | DefaultCamelContext.java 3207 | Apache Camel 2.20.1 (CamelContext: camel-1) started in 0.498 seconds
2018-10-11 00:25:31,497 | INFO | DefaultCamelContext.java 3497 | Apache Camel 2.20.1 (CamelContext: camel-1) is shutting down
2018-10-11 00:25:31,498 | INFO | DefaultShutdownStrategy.java 195 | Starting to graceful shutdown 1 routes (timeout 300 seconds)
2018-10-11 00:25:31,503 | INFO | DefaultShutdownStrategy.java 671 | Route: route1 shutdown complete, was consuming from: file://data/input?noop=true
2018-10-11 00:25:31,503 | INFO | DefaultShutdownStrategy.java 260 | Graceful shutdown of 1 routes completed in 0 seconds
2018-10-11 00:25:31,518 | INFO | DefaultCamelContext.java 3588 | Apache Camel 2.20.1 (CamelContext: camel-1) uptime 5.537 seconds
2018-10-11 00:25:31,518 | INFO | DefaultCamelContext.java 3589 | Apache Camel 2.20.1 (CamelContext: camel-1) is shutdown in 0.021 seconds
2018-10-11 00:27:39,842 | INFO | DefaultCamelContext.java 3146 | Apache Camel 2.20.1 (CamelContext: camel-1) is starting
2018-10-11 00:27:39,862 | INFO | ManagedManagementStrategy.java 205 | JMX is enabled
2018-10-11 00:27:40,181 | INFO | DefaultTypeConverter.java 66 | Type converters loaded (core: 192, classpath: 0)
2018-10-11 00:27:40,369 | INFO | DefaultCamelContext.java 3466 | StreamCaching is not in use. If using streams then its recommended to enable stream caching. See more details at http://camel.apache.org/stream-caching.html
2018-10-11 00:27:40,377 | INFO | FileEndpoint.java 104 | Endpoint is configured with noop=true so forcing endpoint to be idempotent as well
2018-10-11 00:27:40,377 | INFO | FileEndpoint.java 110 | Using default memory based idempotent repository with cache max size: 1000
2018-10-11 00:27:40,510 | INFO | DefaultCamelContext.java 4026 | Route: route1 started and consuming from: file://data/input?noop=true
2018-10-11 00:27:40,511 | INFO | DefaultCamelContext.java 3195 | Total 1 routes, of which 1 are started
2018-10-11 00:27:40,513 | INFO | DefaultCamelContext.java 3207 | Apache Camel 2.20.1 (CamelContext: camel-1) started in 0.676 seconds
2018-10-11 00:27:45,519 | INFO | DefaultCamelContext.java 3497 | Apache Camel 2.20.1 (CamelContext: camel-1) is shutting down
2018-10-11 00:27:45,521 | INFO | DefaultShutdownStrategy.java 195 | Starting to graceful shutdown 1 routes (timeout 300 seconds)
2018-10-11 00:27:45,531 | INFO | DefaultShutdownStrategy.java 671 | Route: route1 shutdown complete, was consuming from: file://data/input?noop=true
2018-10-11 00:27:45,532 | INFO | DefaultShutdownStrategy.java 260 | Graceful shutdown of 1 routes completed in 0 seconds
2018-10-11 00:27:45,581 | INFO | DefaultCamelContext.java 3588 | Apache Camel 2.20.1 (CamelContext: camel-1) uptime 5.745 seconds
2018-10-11 00:27:45,581 | INFO | DefaultCamelContext.java 3589 | Apache Camel 2.20.1 (CamelContext: camel-1) is shutdown in 0.062 seconds
2018-10-11 00:30:57,001 | INFO | DefaultCamelContext.java 3146 | Apache Camel 2.20.1 (CamelContext: camel-1) is starting
2018-10-11 00:30:57,005 | INFO | ManagedManagementStrategy.java 205 | JMX is enabled
2018-10-11 00:30:57,317 | INFO | DefaultTypeConverter.java 66 | Type converters loaded (core: 192, classpath: 0)
2018-10-11 00:30:57,503 | INFO | DefaultCamelContext.java 3466 | StreamCaching is not in use. If using streams then its recommended to enable stream caching. See more details at http://camel.apache.org/stream-caching.html
2018-10-11 00:30:57,507 | INFO | FileEndpoint.java 104 | Endpoint is configured with noop=true so forcing endpoint to be idempotent as well
2018-10-11 00:30:57,507 | INFO | FileEndpoint.java 110 | Using default memory based idempotent repository with cache max size: 1000
